filename,notes,authors,licenses,urls
body/bodies/male/light.png,"see details at https://opengameart.org/content/lpc-character-bases; 'Thick' Male Revised Run/Climb by JaidynReiman (based on ElizaWy's LPC Revised)","bluecarrot16,JaidynReiman,Benjamin K. Smith (BenCreating),Evert,Eliza Wyatt (ElizaWy),TheraHedwig,MuffinElZangano,Durrani,Johannes Sjölund (wulax),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-male-jumping-animation-by-durrani,https://opengameart.org/content/lpc-runcycle-and-diagonal-walkcycle,https://opengameart.org/content/lpc-revised-character-basics,https://opengameart.org/content/lpc-be-seated,https://opengameart.org/content/lpc-runcycle-for-male-muscular-and-pregnant-character-bases-with-modular-heads,https://opengameart.org/content/lpc-jump-expanded,https://opengameart.org/content/lpc-character-bases"
head/heads/human/male/light.png,"original head by Redshrike, tweaks by BenCreating, modular version by bluecarrot16","bluecarrot16,Benjamin K. Smith (BenCreating),Stephen Challener (Redshrike)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles,https://opengameart.org/content/lpc-character-bases"
hat/helmet/horned/adult/silver.png,"","bluecarrot16,Shaun Williams,Matthew Krohn (makrohn),Johannes Sjölund (wulax),Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-full-plate-golden-armor,https://opengameart.org/content/lpc-full-plate-golden-armor-0,https://opengameart.org/content/lpc-helmets-mega-pack,https://opengameart.org/content/lpc-expanded-hats-facial-helmets"
arms/gloves/male/silver.png,"metal gloves by wulax, recolors by bigbeargames, adapted to v3 bases by bluecarrot16, added to expanded animations by JaidynReiman","Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax),bluecarrot16,JaidynReiman","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,http://opengameart.org/content/lpc-clothing-updates"
torso/chainmail/male/gray.png,"minor edits by bluecarrot16","Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
torso/armour/plate/male/silver.png,"original by wulax, recolor by bigbeargames, color reduced to 7 colors and adapted to v3 bases by bluecarrot16, run/jump/sit/climb/revised combat by JaidynReiman","JaidynReiman, bluecarrot16, Michael Whitlock (bigbeargames), Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites,https://opengameart.org/content/lpc-combat-armor-for-women"
legs/armour/plate/male/steel.png,"reduced to 7 colors an adapted to v3 bases by bluecarrot16, climb/jump/sit/emotes by JaidynReiman","bluecarrot16,JaidynReiman,Michael Whitlock (bigbeargames),Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
feet/armour/plate/male/steel.png,"original by wulax, recolors by bigbeargames, edits for v3 base and recolors by bluecarrot16","Matthew Krohn (makrohn),Johannes Sjölund (wulax)","OGA-BY 3.0,CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-fantasy-character-sprites"
shield/kite/male/kite_blue_gray.png,"","DarkwallLKE,Tuomo Untinen (reemax),Michael Whitlock (bigbeargames)","CC-BY-SA 3.0,GPL 2.0,GPL 3.0","https://opengameart.org/content/lpc-kite-shield,https://opengameart.org/content/lpc-shields-pack"
weapon/polearm/halberd/behind/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
weapon/polearm/halberd/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
weapon/polearm/halberd/attack_thrust/behind/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
weapon/polearm/halberd/attack_thrust/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
weapon/polearm/halberd/attack_slash/behind/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
weapon/polearm/halberd/attack_slash/halberd.png,"","Benjamin K. Smith (BenCreating),bluecarrot16,Sander Frenken (castelonia)","CC-BY-SA 3.0,GPL 3.0","https://opengameart.org/content/lpc-medieval-weapons"
